,Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
90,01.01.2009 15:10:00,999.98,-5.53,267.63,-6.87,90.2,4.04,3.64,0.4,2.27,3.64,1299.83,1.33,1.75,148.6
96,01.01.2009 16:10:00,1000.05,-5.31,267.85,-6.69,89.9,4.11,3.69,0.42,2.3,3.69,1298.81,1.03,1.5,127.0
102,01.01.2009 17:10:00,1000.17,-5.43,267.72,-6.9,89.3,4.07,3.64,0.44,2.26,3.64,1299.6,1.27,1.88,144.0
108,01.01.2009 18:10:00,1000.13,-5.16,267.99,-6.67,89.1,4.16,3.7,0.45,2.31,3.7,1298.21,0.6,1.0,186.9
114,01.01.2009 19:10:00,1000.3,-4.9,268.24,-6.36,89.4,4.24,3.79,0.45,2.36,3.79,1297.1,0.35,0.88,158.1
120,01.01.2009 20:10:00,1000.27,-4.93,268.21,-6.38,89.5,4.23,3.78,0.44,2.36,3.78,1297.25,0.63,1.13,206.5
126,01.01.2009 21:10:00,1000.19,-4.84,268.31,-6.21,90.0,4.26,3.83,0.43,2.39,3.83,1296.64,0.83,1.13,168.5
132,01.01.2009 22:10:00,999.92,-4.41,268.76,-5.73,90.4,4.4,3.98,0.42,2.48,3.98,1294.16,0.18,0.5,170.1
138,01.01.2009 23:10:00,999.8,-4.5,268.68,-5.71,91.2,4.37,3.99,0.38,2.48,3.99,1294.45,0.37,0.88,149.6
144,02.01.2009 00:10:00,999.55,-4.6,268.6,-5.52,93.2,4.34,4.04,0.29,2.52,4.04,1294.58,0.85,1.38,151.2
150,02.01.2009 01:10:00,999.31,-4.39,268.82,-5.14,94.5,4.41,4.16,0.24,2.6,4.17,1293.22,0.42,1.25,153.5
156,02.01.2009 02:10:00,998.93,-4.26,268.99,-4.99,94.6,4.45,4.21,0.24,2.63,4.22,1292.03,0.29,0.75,182.3
162,02.01.2009 03:10:00,998.67,-4.5,268.76,-5.17,95.0,4.37,4.15,0.22,2.59,4.16,1292.9,0.72,1.0,177.5
168,02.01.2009 04:10:00,998.29,-4.63,268.66,-5.25,95.4,4.33,4.13,0.2,2.58,4.14,1293.05,0.83,1.25,190.8
174,02.01.2009 05:10:00,998.21,-4.94,268.36,-5.48,96.0,4.23,4.06,0.17,2.53,4.06,1294.48,1.03,1.63,344.2
180,02.01.2009 06:10:00,998.11,-4.38,268.93,-4.93,95.9,4.41,4.23,0.18,2.64,4.24,1291.55,0.75,1.63,52.73
186,02.01.2009 07:10:00,998.19,-4.34,268.96,-4.98,95.3,4.42,4.21,0.21,2.63,4.22,1291.5,0.33,0.63,202.6
192,02.01.2009 08:10:00,998.11,-4.37,268.94,-5.08,94.7,4.41,4.18,0.23,2.61,4.19,1291.52,1.62,2.38,176.8
198,02.01.2009 09:10:00,998.39,-4.07,269.22,-4.93,93.7,4.52,4.23,0.28,2.64,4.24,1290.42,1.15,1.63,176.0
204,02.01.2009 10:10:00,998.78,-3.97,269.29,-5.0,92.5,4.55,4.21,0.34,2.63,4.21,1290.45,1.78,2.25,140.5
210,02.01.2009 11:10:00,998.88,-3.49,269.76,-4.61,91.9,4.72,4.33,0.38,2.7,4.34,1288.25,1.95,2.5,152.9
216,02.01.2009 12:10:00,998.85,-3.07,270.18,-4.4,90.5,4.87,4.41,0.46,2.75,4.41,1286.16,1.2,2.13,126.4
222,02.01.2009 13:10:00,998.58,-2.54,270.73,-4.3,87.6,5.07,4.44,0.63,2.77,4.44,1283.27,1.13,1.75,141.1
228,02.01.2009 14:10:00,998.73,-2.62,270.63,-4.24,88.6,5.03,4.46,0.57,2.78,4.46,1283.86,0.92,1.5,32.27
234,02.01.2009 15:10:00,999.05,-2.31,270.92,-4.12,87.3,5.15,4.5,0.65,2.81,4.5,1282.76,0.94,1.25,21.58
240,02.01.2009 16:10:00,999.62,-2.81,270.38,-4.26,89.7,4.96,4.45,0.51,2.77,4.45,1285.9,2.16,3.13,8.34
246,02.01.2009 17:10:00,1000.23,-2.96,270.18,-4.44,89.5,4.91,4.39,0.52,2.74,4.39,1287.44,1.22,2.13,355.1
252,02.01.2009 18:10:00,1000.78,-3.16,269.94,-4.23,92.3,4.83,4.46,0.37,2.78,4.46,1289.07,3.44,6.13,24.44
258,02.01.2009 19:10:00,1001.34,-3.36,269.69,-4.56,91.4,4.76,4.35,0.41,2.71,4.35,1290.81,2.81,4.13,10.57
264,02.01.2009 20:10:00,1001.9,-3.28,269.74,-4.3,92.6,4.79,4.44,0.35,2.76,4.43,1291.08,2.09,3.13,21.2
270,02.01.2009 21:10:00,1002.32,-3.5,269.48,-4.64,91.7,4.71,4.32,0.39,2.69,4.31,1292.73,2.69,3.75,22.07
276,02.01.2009 22:10:00,1002.39,-4.06,268.91,-5.68,88.4,4.52,3.99,0.52,2.48,3.98,1295.7,3.06,4.0,15.5
282,02.01.2009 23:10:00,1002.64,-4.45,268.51,-5.89,89.6,4.39,3.93,0.46,2.44,3.92,1297.89,0.82,1.63,313.2
288,03.01.2009 00:10:00,1002.39,-4.89,268.09,-6.16,90.7,4.24,3.85,0.39,2.39,3.84,1299.75,0.8,1.38,13.01
294,03.01.2009 01:10:00,1002.39,-5.39,267.58,-6.62,91.0,4.08,3.72,0.37,2.31,3.71,1302.27,0.63,1.13,140.2
300,03.01.2009 02:10:00,1002.28,-6.38,266.6,-7.42,92.3,3.78,3.49,0.29,2.17,3.49,1307.06,0.43,0.75,178.7
306,03.01.2009 03:10:00,1002.14,-6.36,266.63,-7.44,92.0,3.79,3.49,0.3,2.17,3.48,1306.79,0.19,0.63,73.1
312,03.01.2009 04:10:00,1001.99,-6.17,266.84,-7.4,90.9,3.85,3.5,0.35,2.17,3.49,1305.62,0.27,0.75,162.3
318,03.01.2009 05:10:00,1001.52,-7.19,265.85,-8.2,92.4,3.56,3.29,0.27,2.04,3.28,1310.14,0.39,0.88,158.2
324,03.01.2009 06:10:00,1001.2,-8.14,264.93,-8.94,93.9,3.3,3.1,0.2,1.93,3.1,1314.51,2.0,2.63,249.7
330,03.01.2009 07:10:00,1001.22,-8.63,264.44,-9.88,90.6,3.18,2.88,0.3,1.79,2.88,1317.08,1.31,2.13,228.3
336,03.01.2009 08:10:00,1000.99,-9.45,263.64,-10.62,91.1,2.98,2.71,0.27,1.69,2.71,1320.96,0.73,1.38,176.5
342,03.01.2009 09:10:00,1000.92,-10.0,263.09,-11.36,89.7,2.85,2.56,0.29,1.59,2.55,1323.7,0.82,1.38,194.3
348,03.01.2009 10:10:00,1000.64,-8.56,264.55,-10.68,84.5,3.19,2.7,0.5,1.68,2.7,1316.05,1.19,1.88,176.9
354,03.01.2009 11:10:00,999.88,-7.52,265.65,-9.63,84.7,3.47,2.94,0.53,1.83,2.94,1309.78,1.09,1.63,191.4
360,03.01.2009 12:10:00,998.83,-5.78,267.47,-8.58,80.5,3.96,3.19,0.77,1.99,3.19,1299.79,1.3,2.0,198.5
366,03.01.2009 13:10:00,998.17,-2.23,271.07,-7.31,67.98,5.18,3.52,1.66,2.2,3.53,1281.75,1.53,2.25,166.3
372,03.01.2009 14:10:00,997.31,-2.74,270.63,-7.97,67.06,4.99,3.35,1.64,2.09,3.36,1283.13,1.63,2.63,117.2
378,03.01.2009 15:10:00,996.85,-1.37,272.04,-10.43,49.89,5.52,2.76,2.77,1.72,2.76,1276.35,1.42,2.13,219.5
384,03.01.2009 16:10:00,996.12,-3.64,269.82,-12.35,50.57,4.66,2.36,2.31,1.47,2.37,1286.34,2.08,3.0,244.9
390,03.01.2009 17:10:00,995.7,-4.63,268.86,-12.38,54.42,4.33,2.35,1.97,1.47,2.36,1290.57,3.01,3.88,249.6
396,03.01.2009 18:10:00,995.47,-3.98,269.53,-11.35,56.28,4.54,2.56,1.99,1.6,2.57,1287.06,2.49,3.88,244.5
402,03.01.2009 19:10:00,995.28,-3.77,269.75,-10.47,59.45,4.62,2.74,1.87,1.72,2.76,1285.72,1.15,1.88,173.7
408,03.01.2009 20:10:00,994.76,-3.88,269.69,-9.47,64.9,4.58,2.97,1.61,1.86,2.99,1285.44,0.52,1.13,111.0
414,03.01.2009 21:10:00,994.23,-3.07,270.54,-8.36,66.65,4.87,3.25,1.62,2.03,3.26,1280.75,1.42,2.5,226.1
420,03.01.2009 22:10:00,994.01,-2.71,270.92,-7.74,68.08,5.0,3.41,1.6,2.13,3.43,1278.68,1.08,2.25,233.9
426,03.01.2009 23:10:00,993.14,-2.46,271.23,-6.93,71.2,5.09,3.63,1.47,2.27,3.65,1276.32,1.69,2.75,233.6
432,04.01.2009 00:10:00,992.79,-1.83,271.89,-6.29,71.4,5.34,3.81,1.53,2.39,3.84,1272.79,1.44,2.63,214.1
438,04.01.2009 01:10:00,992.09,-1.49,272.28,-5.25,75.4,5.47,4.13,1.35,2.59,4.16,1270.17,3.25,4.63,246.7
444,04.01.2009 02:10:00,991.73,-2.09,271.72,-3.53,89.8,5.24,4.7,0.53,2.96,4.74,1272.2,1.29,3.25,138.0
450,04.01.2009 03:10:00,991.24,-2.16,271.68,-3.48,90.6,5.21,4.72,0.49,2.97,4.76,1271.91,1.04,3.0,112.5
456,04.01.2009 04:10:00,990.74,-1.87,272.01,-3.24,90.3,5.32,4.81,0.52,3.02,4.85,1269.87,0.83,2.0,83.6
462,04.01.2009 05:10:00,990.33,-1.5,272.41,-2.77,91.0,5.47,4.98,0.49,3.13,5.03,1267.55,1.24,3.5,201.6
468,04.01.2009 06:10:00,989.96,-1.44,272.51,-2.68,91.2,5.5,5.01,0.48,3.16,5.06,1266.74,1.47,3.75,221.3
474,04.01.2009 07:10:00,989.93,-1.0,272.95,-2.62,88.7,5.68,5.04,0.64,3.17,5.09,1264.65,3.95,6.88,255.8
480,04.01.2009 08:10:00,989.96,-0.81,273.14,-2.45,88.6,5.76,5.1,0.66,3.21,5.15,1263.78,2.32,5.0,251.2
486,04.01.2009 09:10:00,989.95,-0.9,273.05,-2.84,86.6,5.72,4.95,0.77,3.12,5.0,1264.26,2.71,5.13,220.7
492,04.01.2009 10:10:00,989.87,-1.3,272.66,-2.64,90.5,5.55,5.03,0.53,3.16,5.08,1265.96,2.44,4.5,221.7
498,04.01.2009 11:10:00,989.49,-1.12,272.86,-2.53,90.1,5.63,5.07,0.56,3.19,5.12,1264.63,2.14,5.13,223.9
504,04.01.2009 12:10:00,988.78,-1.12,272.92,-2.29,91.7,5.62,5.16,0.47,3.25,5.22,1263.7,2.07,4.5,232.3
510,04.01.2009 13:10:00,987.96,-0.99,273.11,-2.46,89.7,5.68,5.09,0.59,3.21,5.16,1262.07,2.22,3.63,225.2
516,04.01.2009 14:10:00,987.51,-0.79,273.35,-2.44,88.5,5.77,5.1,0.66,3.22,5.17,1260.54,2.31,5.0,214.5
522,04.01.2009 15:10:00,987.0,-0.63,273.55,-2.49,87.2,5.83,5.09,0.75,3.21,5.15,1259.19,1.17,3.0,189.8
528,04.01.2009 16:10:00,986.65,-1.13,273.07,-2.8,88.4,5.62,4.97,0.65,3.14,5.04,1261.11,2.18,3.63,230.8
534,04.01.2009 17:10:00,986.45,-1.41,272.81,-2.7,90.9,5.51,5.0,0.5,3.16,5.07,1262.14,1.17,3.5,245.1
540,04.01.2009 18:10:00,986.07,-1.51,272.74,-2.73,91.3,5.47,4.99,0.48,3.15,5.06,1262.1,1.09,2.25,189.6
546,04.01.2009 19:10:00,985.83,-1.56,272.71,-2.65,92.2,5.45,5.02,0.42,3.17,5.09,1262.01,1.56,3.0,210.9
552,04.01.2009 20:10:00,985.67,-1.51,272.78,-2.63,92.0,5.47,5.03,0.44,3.18,5.1,1261.55,1.29,2.88,221.5
558,04.01.2009 21:10:00,985.46,-1.51,272.8,-2.48,93.0,5.47,5.09,0.38,3.22,5.16,1261.25,2.2,3.5,223.1
564,04.01.2009 22:10:00,985.38,-1.38,272.92,-2.26,93.7,5.52,5.17,0.35,3.27,5.25,1260.54,0.75,2.25,227.0
570,04.01.2009 23:10:00,985.2,-1.44,272.88,-2.36,93.4,5.5,5.13,0.36,3.25,5.21,1260.59,1.59,3.0,229.0
576,05.01.2009 00:10:00,985.06,-1.5,272.83,-2.51,92.8,5.47,5.08,0.39,3.21,5.15,1260.74,1.59,3.5,231.0
582,05.01.2009 01:10:00,984.65,-1.57,272.79,-2.61,92.6,5.44,5.04,0.4,3.19,5.12,1260.55,2.84,4.63,250.1
588,05.01.2009 02:10:00,984.9,-1.57,272.77,-2.74,91.7,5.44,4.99,0.45,3.16,5.07,1260.89,2.71,4.75,263.9
594,05.01.2009 03:10:00,985.17,-1.53,272.79,-3.42,86.9,5.46,4.74,0.72,3.0,4.81,1261.17,3.25,4.63,260.1
600,05.01.2009 04:10:00,985.44,-1.77,272.53,-3.22,89.7,5.36,4.81,0.55,3.04,4.88,1262.57,3.11,5.63,260.9
606,05.01.2009 05:10:00,985.64,-1.77,272.52,-3.46,88.1,5.36,4.73,0.64,2.99,4.8,1262.87,3.35,5.0,258.4
612,05.01.2009 06:10:00,986.1,-1.7,272.55,-3.44,87.8,5.39,4.73,0.66,2.99,4.8,1263.13,1.42,4.13,284.4
618,05.01.2009 07:10:00,986.9,-2.18,272.01,-3.94,87.6,5.2,4.56,0.65,2.88,4.62,1266.48,1.16,3.5,354.4
624,05.01.2009 08:10:00,987.83,-2.83,271.28,-4.42,88.7,4.96,4.4,0.56,2.77,4.45,1270.83,1.65,4.13,30.92
630,05.01.2009 09:10:00,988.59,-3.12,270.93,-4.26,91.8,4.85,4.45,0.4,2.81,4.5,1273.15,1.89,4.25,357.0
636,05.01.2009 10:10:00,989.38,-3.3,270.69,-4.65,90.3,4.79,4.32,0.46,2.72,4.37,1275.07,2.93,5.38,358.9
642,05.01.2009 11:10:00,990.08,-3.57,270.36,-5.43,86.8,4.69,4.07,0.62,2.56,4.11,1277.36,5.25,8.0,20.67
648,05.01.2009 12:10:00,990.55,-3.73,270.16,-5.6,86.8,4.63,4.02,0.61,2.53,4.06,1278.79,4.74,7.38,20.51
654,05.01.2009 13:10:00,990.85,-4.23,269.64,-6.13,86.5,4.46,3.86,0.6,2.43,3.89,1281.61,6.48,9.13,23.81
660,05.01.2009 14:10:00,991.17,-4.68,269.17,-6.06,90.0,4.31,3.88,0.43,2.44,3.92,1284.15,6.2,8.25,19.39
666,05.01.2009 15:10:00,991.91,-5.26,268.52,-6.67,89.7,4.13,3.7,0.42,2.32,3.73,1288.0,6.75,9.75,28.06
672,05.01.2009 16:10:00,992.87,-5.77,267.93,-7.34,88.6,3.97,3.51,0.45,2.2,3.54,1291.82,5.96,9.0,29.18
678,05.01.2009 17:10:00,993.6,-6.55,267.1,-8.18,88.1,3.74,3.29,0.44,2.06,3.31,1296.67,6.53,9.0,22.97
684,05.01.2009 18:10:00,994.27,-7.08,266.52,-9.08,85.5,3.59,3.07,0.52,1.92,3.08,1300.21,6.73,10.38,21.48
690,05.01.2009 19:10:00,994.93,-8.01,265.54,-11.63,75.0,3.34,2.5,0.83,1.57,2.51,1305.92,6.91,9.63,23.47
696,05.01.2009 20:10:00,995.84,-9.35,264.12,-12.89,75.2,3.0,2.26,0.74,1.41,2.27,1313.88,5.33,7.13,16.27
702,05.01.2009 21:10:00,996.58,-10.32,263.1,-13.63,76.5,2.78,2.13,0.65,1.33,2.13,1319.77,2.79,4.38,14.44
708,05.01.2009 22:10:00,997.04,-10.74,262.64,-14.02,76.6,2.69,2.06,0.63,1.29,2.06,1322.53,2.74,3.75,22.86
714,05.01.2009 23:10:00,997.42,-11.96,261.39,-14.73,79.7,2.44,1.94,0.49,1.21,1.95,1329.27,2.12,3.38,2.77
720,06.01.2009 00:10:00,997.62,-12.78,260.56,-15.17,82.1,2.28,1.87,0.41,1.17,1.88,1333.76,1.37,2.63,7.26
726,06.01.2009 01:10:00,997.72,-13.39,259.94,-15.49,84.0,2.17,1.82,0.35,1.14,1.83,1337.06,1.26,3.0,350.2
732,06.01.2009 02:10:00,998.09,-13.66,259.64,-15.63,84.9,2.12,1.8,0.32,1.12,1.8,1338.96,1.3,2.5,1.11
738,06.01.2009 03:10:00,998.26,-13.98,259.31,-15.89,85.3,2.06,1.76,0.3,1.1,1.76,1340.85,1.67,3.63,358.7
744,06.01.2009 04:10:00,998.25,-14.39,258.9,-16.11,86.6,2.0,1.73,0.27,1.08,1.73,1342.99,1.7,2.5,351.5
750,06.01.2009 05:10:00,998.22,-15.2,258.09,-16.69,88.2,1.87,1.65,0.22,1.03,1.65,1347.19,2.4,3.5,4.7
756,06.01.2009 06:10:00,998.22,-15.49,257.8,-16.87,89.0,1.82,1.62,0.2,1.01,1.62,1348.74,0.86,2.38,24.59
762,06.01.2009 07:10:00,998.34,-16.92,256.36,-18.47,87.6,1.61,1.41,0.2,0.88,1.42,1356.53,0.34,1.0,172.7
768,06.01.2009 08:10:00,998.35,-16.26,257.02,-17.6,89.3,1.71,1.52,0.18,0.95,1.53,1353.0,1.27,1.75,350.6
774,06.01.2009 09:10:00,998.44,-15.69,257.59,-17.37,86.8,1.79,1.55,0.24,0.97,1.56,1350.11,0.58,1.0,224.1
780,06.01.2009 10:10:00,998.49,-15.11,258.16,-16.78,86.9,1.88,1.63,0.25,1.02,1.64,1347.1,1.16,2.13,26.08
786,06.01.2009 11:10:00,998.17,-14.71,258.59,-16.83,83.7,1.94,1.63,0.32,1.01,1.63,1344.59,2.09,3.0,20.25
792,06.01.2009 12:10:00,997.73,-14.46,258.87,-16.97,81.0,1.98,1.61,0.38,1.0,1.61,1342.7,2.15,3.13,15.21
798,06.01.2009 13:10:00,996.89,-10.88,262.51,-15.71,67.31,2.66,1.79,0.87,1.12,1.79,1323.17,0.94,1.63,31.63
804,06.01.2009 14:10:00,996.37,-12.43,261.0,-16.28,72.7,2.34,1.7,0.64,1.06,1.71,1330.39,1.74,2.38,25.81
810,06.01.2009 15:10:00,996.26,-12.66,260.78,-16.09,75.3,2.3,1.73,0.57,1.08,1.74,1331.39,2.05,2.63,20.35
816,06.01.2009 16:10:00,996.25,-14.05,259.39,-16.65,80.5,2.05,1.65,0.4,1.03,1.66,1338.57,1.04,1.38,324.4
822,06.01.2009 17:10:00,996.07,-15.59,257.86,-17.69,83.7,1.81,1.51,0.29,0.94,1.52,1346.4,0.97,2.25,245.5
828,06.01.2009 18:10:00,995.93,-16.56,256.9,-18.36,85.8,1.66,1.43,0.24,0.89,1.43,1351.34,1.54,2.5,227.5
834,06.01.2009 19:10:00,995.64,-17.4,256.08,-19.2,85.7,1.55,1.33,0.22,0.83,1.33,1355.44,1.44,2.0,227.7
840,06.01.2009 20:10:00,995.52,-18.32,255.17,-19.96,86.8,1.43,1.24,0.19,0.78,1.25,1360.21,0.29,0.75,42.02
846,06.01.2009 21:10:00,995.55,-18.88,254.6,-20.64,85.8,1.37,1.17,0.19,0.73,1.18,1363.29,0.61,1.13,226.3
852,06.01.2009 22:10:00,995.07,-19.88,253.64,-21.93,83.5,1.25,1.05,0.21,0.65,1.05,1368.07,1.37,2.25,204.1
858,06.01.2009 23:10:00,994.74,-21.08,252.46,-22.9,85.1,1.13,0.96,0.17,0.6,0.96,1374.18,0.32,0.75,204.6
864,07.01.2009 00:10:00,994.43,-21.31,252.25,-23.23,84.3,1.1,0.93,0.17,0.58,0.94,1375.02,0.39,0.88,205.6
870,07.01.2009 01:10:00,994.12,-21.65,251.93,-23.6,84.0,1.07,0.9,0.17,0.56,0.91,1376.46,0.66,1.13,203.5
876,07.01.2009 02:10:00,993.9,-20.94,252.66,-22.69,85.6,1.14,0.98,0.16,0.61,0.98,1372.25,0.36,0.75,213.2
882,07.01.2009 03:10:00,993.67,-23.01,250.6,-25.01,83.4,0.95,0.79,0.16,0.5,0.8,1383.38,0.8,1.5,137.6
888,07.01.2009 04:10:00,993.28,-22.1,251.54,-24.04,84.0,1.03,0.87,0.16,0.54,0.87,1377.78,1.34,2.63,177.4
894,07.01.2009 05:10:00,992.78,-22.31,251.37,-24.33,83.4,1.01,0.84,0.17,0.53,0.85,1378.25,0.79,1.63,188.0
900,07.01.2009 06:10:00,992.28,-22.49,251.23,-24.61,82.6,0.99,0.82,0.17,0.52,0.83,1378.56,0.78,1.38,187.1
906,07.01.2009 07:10:00,992.06,-21.84,251.89,-23.93,82.9,1.05,0.87,0.18,0.55,0.88,1374.66,1.11,1.63,201.4
912,07.01.2009 08:10:00,992.23,-22.54,251.18,-24.58,83.2,0.99,0.82,0.17,0.52,0.83,1378.76,0.54,1.38,204.6
918,07.01.2009 09:10:00,992.14,-20.85,252.88,-22.94,83.1,1.15,0.96,0.19,0.6,0.96,1369.34,0.82,1.63,181.2
924,07.01.2009 10:10:00,992.35,-19.55,254.17,-21.63,83.3,1.29,1.07,0.22,0.67,1.08,1362.54,1.19,2.25,208.4
930,07.01.2009 11:10:00,992.32,-18.64,255.08,-20.95,81.8,1.39,1.14,0.25,0.72,1.15,1357.6,1.05,2.0,172.1
936,07.01.2009 12:10:00,991.76,-15.86,257.91,-18.02,83.3,1.77,1.47,0.29,0.92,1.48,1342.0,0.52,1.38,209.7
942,07.01.2009 13:10:00,991.56,-13.93,259.86,-15.91,84.8,2.07,1.76,0.32,1.1,1.77,1331.59,0.69,1.75,174.8
948,07.01.2009 14:10:00,991.5,-12.28,261.52,-14.45,83.7,2.37,1.99,0.39,1.25,2.0,1322.98,1.25,2.75,123.9
954,07.01.2009 15:10:00,991.93,-10.34,263.43,-12.21,86.0,2.77,2.39,0.39,1.5,2.41,1313.58,0.78,1.88,124.8
960,07.01.2009 16:10:00,992.34,-9.4,264.34,-10.95,88.4,2.99,2.64,0.35,1.66,2.66,1309.31,0.88,1.75,110.6
966,07.01.2009 17:10:00,992.95,-8.47,265.23,-10.11,87.8,3.22,2.82,0.39,1.77,2.84,1305.43,0.63,1.25,170.5
972,07.01.2009 18:10:00,993.73,-8.02,265.62,-9.64,88.0,3.33,2.93,0.4,1.84,2.95,1304.17,0.46,1.0,159.8
978,07.01.2009 19:10:00,994.4,-7.46,266.13,-9.02,88.5,3.48,3.08,0.4,1.93,3.1,1302.24,0.41,0.88,86.5
984,07.01.2009 20:10:00,995.23,-8.27,265.25,-9.89,88.0,3.27,2.88,0.39,1.8,2.89,1307.41,0.51,0.88,217.2
990,07.01.2009 21:10:00,996.32,-8.56,264.88,-9.8,90.7,3.19,2.9,0.3,1.81,2.91,1310.27,0.3,0.63,129.0
996,07.01.2009 22:10:00,997.28,-9.3,264.07,-10.28,92.5,3.01,2.79,0.23,1.74,2.8,1315.27,0.29,1.13,85.4
1002,07.01.2009 23:10:00,998.05,-10.99,262.32,-12.14,91.1,2.63,2.4,0.23,1.5,2.4,1324.97,0.2,0.63,146.6
1008,08.01.2009 00:10:00,998.67,-10.6,262.66,-11.64,92.0,2.72,2.5,0.22,1.56,2.5,1323.77,0.59,0.88,231.8
1014,08.01.2009 01:10:00,999.29,-12.13,261.08,-13.37,90.4,2.4,2.17,0.23,1.35,2.17,1332.51,0.06,0.38,185.5
1020,08.01.2009 02:10:00,1000.19,-11.82,261.33,-12.91,91.5,2.46,2.25,0.21,1.4,2.25,1332.1,0.32,0.5,109.3
1026,08.01.2009 03:10:00,1001.04,-12.95,260.13,-14.18,90.4,2.25,2.03,0.22,1.26,2.03,1339.14,0.45,1.13,187.9
1032,08.01.2009 04:10:00,1001.53,-12.08,260.97,-13.21,91.2,2.41,2.2,0.21,1.37,2.2,1335.24,1.25,1.88,238.2
1038,08.01.2009 05:10:00,1001.86,-12.21,260.81,-13.65,88.9,2.39,2.12,0.26,1.32,2.12,1336.38,0.61,1.0,159.3
1044,08.01.2009 06:10:00,1002.21,-11.27,261.73,-12.53,90.3,2.58,2.33,0.25,1.44,2.32,1331.94,0.19,0.63,193.9
1050,08.01.2009 07:10:00,1002.53,-10.67,262.3,-11.95,90.2,2.7,2.44,0.26,1.51,2.43,1329.27,0.3,0.63,221.1
1056,08.01.2009 08:10:00,1003.4,-10.0,262.9,-11.43,89.2,2.85,2.54,0.31,1.58,2.53,1326.99,0.54,0.88,211.8
1062,08.01.2009 09:10:00,1004.14,-9.59,263.26,-10.91,90.0,2.95,2.65,0.29,1.64,2.64,1325.84,0.28,0.63,123.8
1068,08.01.2009 10:10:00,1004.33,-7.56,265.27,-9.79,83.9,3.45,2.9,0.56,1.8,2.89,1315.85,0.34,0.63,160.6
1074,08.01.2009 11:10:00,1004.57,-7.15,265.66,-10.21,78.6,3.57,2.8,0.76,1.74,2.79,1314.17,1.66,2.0,146.0
1080,08.01.2009 12:10:00,1004.34,-6.56,266.27,-9.38,80.2,3.73,2.99,0.74,1.86,2.98,1310.88,2.24,4.13,154.5
1086,08.01.2009 13:10:00,1004.09,-4.06,268.79,-7.79,75.1,4.52,3.39,1.13,2.11,3.38,1298.17,1.93,2.75,168.1
1092,08.01.2009 14:10:00,1003.69,-5.3,267.58,-7.96,81.4,4.11,3.35,0.77,2.08,3.34,1303.67,2.73,3.63,158.8
1098,08.01.2009 15:10:00,1003.42,-4.69,268.21,-7.92,78.0,4.31,3.36,0.95,2.09,3.35,1300.37,1.44,2.0,190.8
1104,08.01.2009 16:10:00,1003.47,-5.81,267.09,-8.42,81.7,3.96,3.23,0.72,2.01,3.22,1305.94,0.44,0.88,305.7
