series_code,topic,indicator_name,short_definition,long_definition,unit_of_measure,periodicity,base_period,other_notes,aggregation_method,limitations_and_exceptions,notes_from_original_source,general_comments,source,statistical_concept_and_methodology,development_relevance,related_source_links,other_web_links,related_indicators,license_type
SM.POP.NETM,Social Protection & Labor: Migration,Net migration,"Net migration is the number of immigrants minus the number of emigrants, including citizens and noncitizens, for the five-year period.","Net migration is the net total of migrants during the period, that is, the total number of immigrants less the annual number of emigrants, including both citizens and noncitizens. Data are five-year estimates.",,Annual,,,Sum,"International migration is the component of population change most difficult to measure and estimate reliably. Thus, the quality and quantity of the data used in the estimation and projection of net migration varies considerably by country. Furthermore, the movement of people across international boundaries, which is very often a response to changing socio-economic, political and environmental forces, is subject to a great deal of volatility. Refugee movements, for instance, may involve large numbers of people moving across boundaries in a short time. For these reasons, projections of future international migration levels are the least robust part of current population projections and reflect mainly a continuation of recent levels and trends in net migration.",,,United Nations Population Division. World Population Prospects: 2019 Revision.,"The United Nations Population Division provides data on net migration and migrant stock. Because data on migrant stock is difficult for countries to collect, the United Nations Population Division takes into account the past migration history of a country or area, the migration policy of a country, and the influx of refugees in recent periods when deriving estimates of net migration. The data to calculate these estimates come from a variety of sources, including border statistics, administrative records, surveys, and censuses.

When there is insufficient data, net migration is derived through the difference between the overall population growth rate and the rate of natural increase (the difference between the birth rate and the death rate) during the same period. Such calculations are usually made for intercensal periods. The estimates are also derived from the data on foreign-born population - people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population - that is, people who are citizens of a country other than the country in which they reside - are used as estimates.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers.

But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.",,,,CC BY-4.0
SH.MLR.IPTP.ZS,Health: Disease prevention,Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),"Percentage of women aged 15 - 49 with a live birth in the recent years preceding the survey who received 3+ doses of sulfadoxine-pyrimethamine (SP/Fansidar), at least one during an antenatal care visit.","Percentage of women aged 15 - 49 with a live birth in the recent years preceding the survey who received 3+ doses of sulfadoxine-pyrimethamine (SP/Fansidar), at least one during an antenatal care visit. Intermittent Preventive Treatment (IPT) is preventive treatment with SP/Fansidar during an antenatal care (ANC) visit treatment with a dose of sulfadoxine-pyrimethamine (SP/Fansidar) to pregnant women at each scheduled antenatal visit after the first trimester, but not more frequently than once a month.",,Annual,,,Weighted average,,,,"UNICEF Global Databases [data.unicef.org], Multiple Indicator Cluster Surveys, Demographic and Health Surveys.",,"Malaria infection during pregnancy is a serious public health concern. It carries substantial risks for the mother, her fetus and the neonate including anaemia, severe malaria, spontaneous abortion, stillbirth, prematurity, neonatal mortality and low birthweight. Intermittent preventive treatment of malaria in pregnancy is a full therapeutic course of antimalarial medicine given to pregnant women at routine antenatal care visits, regardless of whether the recipient is infected with malaria. IPTp reduces maternal malaria episodes, maternal and fetal anaemia, placental parasitaemia, low birth weight, and neonatal mortality.",,,,CC BY-4.0
SH.UHC.NOP1.CG,Health: Universal Health Coverage,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 (USD),"Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure, expressed in US dollars (2011 PPP). The poverty gap increase due to out-of-pocket health spending is one way to measure how much out-of-pocket health spending pushes people below or further below the poverty line (the difference in the poverty gap due to out-of-pocket health spending being included or excluded from the measure of household welfare). This difference corresponds to the total out-of-pocket health spending for households that are already below the poverty line, to the amount that exceeds the shortfall between the poverty line and total consumption for households that are impoverished by out-of-pocket health spending and to zero for households whose consumption is above the poverty line after accounting for out-of-pocket health spending.",,Annual,,,Weighted average,,,,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. This series measures the poverty gap increase attributable to OOP health expenditures. This amount can be interpreted as the per capita amount by which on average OOP spending pushes or further pushes the household below the PL. It is defined as the difference between the poverty gap based on a measure of consumption net of OOP health expenditures and a measure of consumption gross of OOP health expenditures. The difference is expressed in 2011 PPP international dollar.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.NOP1.ZG,Health: Universal Health Coverage,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),Increase in poverty gap at $1.90 (% of poverty line),"Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure, as a percentage of the $1.90 poverty line. The poverty gap increase due to out-of-pocket health spending is one way to measure how much out-of-pocket health spending pushes people below or further below the poverty line (the difference in the poverty gap due to out-of-pocket health spending being included or excluded from the measure of household welfare). This difference corresponds to the total out-of-pocket health spending for households that are already below the poverty line, to the amount that exceeds the shortfall between the poverty line and total consumption for households that are impoverished by out-of-pocket health spending and to zero for households whose consumption is above the poverty line after accounting for out-of-pocket health spending.",,Annual,,,Weighted average,,,,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. This series measures the poverty gap increase attributable to OOP health expenditures. This amount can be interpreted as the per capita amount by which on average OOP spending pushes or further pushes the household below the PL. It is defined as the difference between the poverty gap based on a measure of consumption net of OOP health expenditures and a measure of consumption gross of OOP health expenditures. The difference is expressed as a percentage of the PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.NOP1.ZS,Health: Universal Health Coverage,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),Impoverishment at the $1.90 Poverty Line (%),"Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure. This indicator shows the fraction of a country's households experiencing impoverishing expenditures, defined as expenditures without which the household would have been above the $ 1.90 poverty line, but because of the expenditures is below the poverty line.",,Annual,,,Weighted average,,,Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are impoverishing at the $1.90 PL (PPP) for a household when consumption gross of out-of-pocket payments is higher than the $1.90 PL, but consumption net of out-of-pocket payments is lower than the 1.90 PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.NOP2.CG,Health: Universal Health Coverage,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $3.20 (USD),"Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure, expressed in US dollars (2011 PPP). The poverty gap increase due to out-of-pocket health spending is one way to measure how much out-of-pocket health spending pushes people below or further below the poverty line (the difference in the poverty gap due to out-of-pocket health spending being included or excluded from the measure of household welfare). This difference corresponds to the total out-of-pocket health spending for households that are already below the poverty line, to the amount that exceeds the shortfall between the poverty line and total consumption for households that are impoverished by out-of-pocket health spending and to zero for households whose consumption is above the poverty line after accounting for out-of-pocket health spending.",,Annual,,,Weighted average,,,,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. This series measures the poverty gap increase attributable to OOP health expenditures. This amount can be interpreted as the per capita amount by which on average OOP spending pushes or further pushes the household below the PL. It is defined as the difference between the poverty gap based on a measure of consumption net of OOP health expenditures and a measure of consumption gross of OOP health expenditures. The difference is expressed in 2011 PPP international dollar.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.NOP2.ZG,Health: Universal Health Coverage,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),Increase in poverty gap at $3.20 (% of poverty line),"Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure, as a percentage of the $3.20 poverty line. The poverty gap increase due to out-of-pocket health spending is one way to measure how much out-of-pocket health spending pushes people below or further below the poverty line (the difference in the poverty gap due to out-of-pocket health spending being included or excluded from the measure of household welfare). This difference corresponds to the total out-of-pocket health spending for households that are already below the poverty line, to the amount that exceeds the shortfall between the poverty line and total consumption for households that are impoverished by out-of-pocket health spending and to zero for households whose consumption is above the poverty line after accounting for out-of-pocket health spending.",,Annual,,,Weighted average,,,,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. This series measures the poverty gap increase attributable to OOP health expenditures. This amount can be interpreted as the per capita amount by which on average OOP spending pushes or further pushes the household below the PL. It is defined as the difference between the poverty gap based on a measure of consumption net of OOP health expenditures and a measure of consumption gross of OOP health expenditures. The difference is expressed as a percentage of the PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.NOP2.ZS,Health: Universal Health Coverage,Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),Impoverishment at the $3.20 Poverty Line (%),"Proportion of population pushed below the $3.20 ($2011 PPP) poverty line by out-of-pocket health care expenditure. This indicator shows the fraction of a country's households experiencing impoverishing expenditures, defined as expenditures without which the household would have been above the $3.20 poverty line, but because of the expenditures is below the poverty line.",,Annual,,,Weighted average,,,Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are impoverishing at the $3.10 PL (PPP) for a household when consumption gross of out-of-pocket payments is higher than the $3.10 PL, but consumption net of out-of-pocket payments is lower than the 3.10 PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.OOPC.10.ZS,Health: Universal Health Coverage,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),"Catastrophic Health Expenditure, 10% of total expenditure/income (%)",Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure.,,Annual,,,Weighted average,,,"Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.


This is the Sustainable Development Goal indicator 3.8.2[https://unstats.un.org/sdgs/metadata/].",World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are defined as catastrophic at the 10% threshold when they represent 10% or more of total consumption or income.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.OOPC.25.ZS,Health: Universal Health Coverage,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),"Catastrophic Health Expenditure, 25% of total expenditure/income (%)",Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure.,,Annual,,,Weighted average,,,"Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank. 

This is the Sustainable Development Goal indicator 3.8.2[https://unstats.un.org/sdgs/metadata/].",World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are defined as catastrophic at the 25% threshold when they represent 25% or more of total consumption or income.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.SRVS.CV.XD,Health: Universal Health Coverage,UHC service coverage index,UHC service coverage index,"Coverage index for essential health services (based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, noncommunicable diseases and service capacity and access). It is presented on a scale of 0 to 100.",,Annual,,,Weighted average,,,This is the Sustainable Development Goal indicator 3.8.1[https://unstats.un.org/sdgs/metadata/].,"World Health Organization, Global Health Observatory Data Repository (https://www.who.int/data/gho).","Under SDG 3.8.1, four categories were defined RMNCH, infectious diseases, non-communicable diseases and service capacity and access. Each category contains several tracers. The index is constructed from geometric means of the tracer indicators; first, within each of the four categories, and then across the four category-specific means to obtain the final summary index. See Source for details about methodology.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SP.DYN.CBRT.IN,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)","Crude birth rate indicates the number of live births per 1,000 midyear population.","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.",,Annual,,,Weighted average,"Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.",,,"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.","Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.",,,,,CC BY-4.0
