Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200507,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,A,46042,Deplaned,46042,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,A,45553,Enplaned,45553,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,38951,Deplaned,38951,2005,July
200507,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,37848,Enplaned,37848,2005,July
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 1,B,62178,Deplaned,62178,2005,July
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,60939,Enplaned,60939,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Low Fare,Terminal 3,E,58767,Deplaned,58767,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Low Fare,Terminal 3,E,58277,Enplaned,58277,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,443656,Deplaned,443656,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,421802,Enplaned,421802,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,11388,Thru / Transit * 2,22776,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Other,International,G,77658,Deplaned,77658,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Other,International,G,68278,Enplaned,68278,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Thru / Transit,Other,International,G,3953,Thru / Transit * 2,7906,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,8603,Deplaned,8603,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,8234,Enplaned,8234,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Thru / Transit,Other,International,G,1385,Thru / Transit * 2,2770,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,12874,Deplaned,12874,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,12085,Enplaned,12085,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,10,Thru / Transit * 2,20,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Other,International,G,30796,Deplaned,30796,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Other,International,G,29283,Enplaned,29283,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Thru / Transit,Other,International,G,888,Thru / Transit * 2,1776,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Other,International,G,9537,Deplaned,9537,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,9672,Enplaned,9672,2005,July
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Thru / Transit,Other,International,G,45,Thru / Transit * 2,90,2005,July
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11684,Deplaned,11684,2005,July
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10771,Enplaned,10771,2005,July
200507,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,2480,Deplaned,2480,2005,July
200507,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,2211,Enplaned,2211,2005,July
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,27472,Deplaned,27472,2005,August
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,26535,Enplaned,26535,2005,August
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5712,Thru / Transit * 2,11424,2005,August
200508,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,34878,Deplaned,34878,2005,August
200508,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,34105,Enplaned,34105,2005,August
200508,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,4204,Deplaned,4204,2005,August
200508,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,3923,Enplaned,3923,2005,August
200508,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,11230,Deplaned,11230,2005,August
200508,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11731,Enplaned,11731,2005,August
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4672,Deplaned,4672,2005,August
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4006,Enplaned,4006,2005,August
200508,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,7796,Deplaned,7796,2005,August
200508,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7737,Enplaned,7737,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,40431,Deplaned,40431,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,39595,Enplaned,39595,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,1902,Thru / Transit * 2,3804,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,8901,Deplaned,8901,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,9020,Enplaned,9020,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,7541,Deplaned,7541,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,9333,Enplaned,9333,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,1902,Thru / Transit * 2,3804,2005,August
200508,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6739,Deplaned,6739,2005,August
200508,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5966,Enplaned,5966,2005,August
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,162064,Deplaned,162064,2005,August
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,157700,Enplaned,157700,2005,August
200508,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5233,Deplaned,5233,2005,August
200508,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4866,Enplaned,4866,2005,August
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,4099,Deplaned,4099,2005,August
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,3376,Enplaned,3376,2005,August
200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1735,Deplaned,1735,2005,August
200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1560,Enplaned,1560,2005,August
200508,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,353,Deplaned,353,2005,August
200508,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,751,Enplaned,751,2005,August
200508,Boeing Company,,Boeing Company,,Domestic,US,Deplaned,Other,Other,Other,18,Deplaned,18,2005,August
200508,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20312,Deplaned,20312,2005,August
200508,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,20084,Enplaned,20084,2005,August
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11753,Deplaned,11753,2005,August
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9050,Enplaned,9050,2005,August
200508,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,14610,Deplaned,14610,2005,August
200508,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10972,Enplaned,10972,2005,August
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97343,Deplaned,97343,2005,August
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,97160,Enplaned,97160,2005,August
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,13524,Deplaned,13524,2005,August
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,11950,Enplaned,11950,2005,August
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,17109,Deplaned,17109,2005,August
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,17186,Enplaned,17186,2005,August
200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7923,Deplaned,7923,2005,August
200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7751,Enplaned,7751,2005,August
200508,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5572,Deplaned,5572,2005,August
200508,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5268,Enplaned,5268,2005,August
200508,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4691,Deplaned,4691,2005,August
200508,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Other,International,A,4355,Enplaned,4355,2005,August
200508,Independence Air,DH,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,9191,Deplaned,9191,2005,August
200508,Independence Air,DH,Independence Air,DH,Domestic,US,Enplaned,Low Fare,International,A,9850,Enplaned,9850,2005,August
200508,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9296,Deplaned,9296,2005,August
200508,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,7913,Enplaned,7913,2005,August
200508,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9666,Deplaned,9666,2005,August
200508,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9881,Enplaned,9881,2005,August
200508,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,8856,Deplaned,8856,2005,August
200508,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,7164,Enplaned,7164,2005,August
200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,21512,Deplaned,21512,2005,August
200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,21881,Enplaned,21881,2005,August
200508,Mesa Airlines,YV,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,2725,Deplaned,2725,2005,August
200508,Mesa Airlines,YV,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,2546,Enplaned,2546,2005,August
200508,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Deplaned,Other,International,G,7156,Deplaned,7156,2005,August
200508,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,5946,Enplaned,5946,2005,August
200508,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 1,A,1552,Deplaned,1552,2005,August
200508,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 1,A,3382,Enplaned,3382,2005,August
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Other,Terminal 1,C,56501,Deplaned,56501,2005,August
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Enplaned,Other,Terminal 1,C,56674,Enplaned,56674,2005,August
200508,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7107,Deplaned,7107,2005,August
200508,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Other,International,A,6522,Enplaned,6522,2005,August
200508,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,12856,Deplaned,12856,2005,August
200508,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,8718,Enplaned,8718,2005,August
200508,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19192,Deplaned,19192,2005,August
200508,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,17118,Enplaned,17118,2005,August
200508,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,7052,Deplaned,7052,2005,August
200508,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,6652,Enplaned,6652,2005,August
200508,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,102899,Deplaned,102899,2005,August
200508,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,103188,Enplaned,103188,2005,August
200508,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,3672,Deplaned,3672,2005,August
200508,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,3570,Enplaned,3570,2005,August
200508,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,4720,Deplaned,4720,2005,August
200508,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,4717,Enplaned,4717,2005,August
200508,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,G,7357,Deplaned,7357,2005,August
200508,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,G,5128,Enplaned,5128,2005,August
200508,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,A,42622,Deplaned,42622,2005,August
200508,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,A,44508,Enplaned,44508,2005,August
200508,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,40712,Deplaned,40712,2005,August
