V1,V1550,V1551,V1552,V1553,V1554,V1555,V1556,V1557,V1558,V1559,V1560,V1561,V1562,V1563,V1564,V1565,V1566,V1567,V1568,V1569,V1570,V1571,V1572,V1573,V1574,V1575,V1576,V1577,V1578,V1579,V1580,V1581,V1582,V1583,V1584,V1585,V1586,V1587,V1588,V1589,V1590,V1591,V1592,V1593,V1594,V1595,V1596,V1597,V1598,V1599,V1600,V1601,V1602,V1603,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13
W17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005.84,11949.8,11916.88,11885.84,11894.96,11994.08,12008.98,12001.1,11982.22,11919.8,11847.14,11948.62,11948.4
W18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340.992,4369.994,4354.626,4348.586,4349.062,4298.412,4313.052,4307.564,4352.01,4405.314,4423.156,4400.068,4398.906
W19,2705,2785,2781,3802,2830,3013,2489,3645,3541,3329,3302,6574,8151,4737,3226,3392,2909,2538,2715,2632,3364,2574,2430,2939,3269,3166,2626,2579,2505,2982,3162,3193,3483,3438,3131,3032,2806,3091,3551,6402,3889,2981,2983,2739,2654,2560,2549,2225,2403,2473,2488,3056,2882,2561,2728.032,3004.392,2561.084,2854.264,2922.912,4048.462,3349.996,3820.58,4370.25,8398.294,7023.236,4084.3,2992.348
W20,3753,3867,3702,4235,3674,4073,2581,3930,4008,3845,2583,3031,5595,4671,4214,4348,4268,3579,3332,3641,3914,3767,3658,3978,4507,7003,5828,6083,4751,4572,4401,4400,5042,4862,4758,4459,4663,5398,6453,5408,4820,4404,4428,4194,4091,3970,4010,3588,4056,3945,3987,4659,4022,4063,3861.022,4025.592,3715.042,3730.462,3013.15,4282.192,4020.31,3820.066,2832.78,3877.022,5946.998,4806.306,4139.906
W21,2555,2730,3289,2992,2791,3602,4214,3681,2871,3458,4390,4371,4706,3024,2349,2995,2367,2254,1966,2221,2100,2342,2055,3211,1962,2559,2055,2375,2127,2591,2482,2927,2576,2024,2527,1841,1848,2032,3506,2207,1971,1786,1960,1930,2239,1955,1740,1606,1832,1624,1377,2345,1875,1991,2371.262,2200.892,2135.152,2646.352,2940.95,2570.96,2277.596,2841,3665.486,3493.862,3407.988,2310.018,1935.57
W22,3010,3000,2580,3620,4510,3780,3920,3560,3640,3230,3320,2710,3570,2740,3710,2670,2530,4020,3350,2940,3170,3540,2800,2560,2890,2980,2860,2940,2690,2660,3410,2470,3340,3030,3040,3880,3480,3410,3010,3570,4480,6190,4490,3900,4270,3680,3700,3910,3510,3430,3000,3170,2810,2780,3177.932,3301.702,3187.882,3135.206,2890.61,3709.94,3253.062,4032.526,2756.796,3300.232,4704.316,3762.182,3073.1
W23,784.8,805.3,782,868.3,767,828.4,538.6,823.3,789.5,834.1,586.7,681.6,1105.6,977.5,822.5,806.9,848.8,706.2,731.8,692.3,737.6,652.4,686.6,695.1,723.5,872.9,737.6,731.2,736,826.3,804.9,807.1,831.5,825.9,1002.8,1015.5,904.8,891.4,1031.4,936.5,848.2,822.4,854.2,808.2,804.7,782.3,750.1,749.3,760.3,725.5,727.5,732.3,799.9,754.9,725.2882,720.6708,728.3622,693.3578,553.6086,783.6888,768.409,780.3688,568.4004,789.1992,1072.322,913.7076,786.7538
W24,6042,6769,6404,8913,7362,7621,5366,13641,7869,7009,5987,18126,24027,12886,6773,8857,7389,7004,6609,6545,6774,6310,5886,5442,6423,7669,6444,6030,5553,7108,6771,6069,7901,6650,7937,6179,6471,5706,7346,11900,7296,6275,6233,5937,5427,5937,5770,5123,6352,6082,5159,7150,6767,7283,6813.778,7794.11,6750.776,6955.152,7216.878,13483.06,8558.382,8665.292,8786.766,22681.62,18137,9946.676,6971.272
W25,916,1627,1402,1591,1992,2256,2350,3260,2588,2419,2706,2795,2982,2304,1899,1818,1637,1363,1461,1337,1286,1104,1201,1396,1170,1171,1056,959,1056,945,960,978,1032,1127,1116,923,949,996,1078,965,853,937,969,1073,1030,870,905,985,949,890,965,1185,1102,1396,1441.564,1644.344,1912.5,2189.194,2233.138,2450.272,2192.654,2395.232,2588.144,2755.47,2862.434,2234.054,2037.392
W26,3048,3569,3639,3868,3808,4514,4161,5676,4919,5370,5636,6205,11082,6400,4893,4826,3982,3492,3404,3462,3572,3226,3436,2528,2880,3546,3098,2939,2841,2684,3342,3072,3792,3102,3135,3031,2847,3076,3444,3522,2869,3184,3643,2946,2974,2711,2826,2615,2626,2460,2564,3162,2766,2687,2826.72,3156.568,3102.77,3752.266,3712.29,4327.566,4222.618,4916.28,5336.606,6065.694,8738.64,4228.684,4121.624
W27,1883,1821,1793,3845,1811,2693,3331,3241,2376,3452,3372,4666,4278,2917,2982,2509,2411,1980,1869,1916,2079,2045,2226,1990,1947,2084,2010,2607,5139,1923,2329,2704,3107,2300,2160,2001,2328,2282,4730,2567,2012,2417,2134,1964,1706,1874,2078,1994,1916,1745,1560,1872,1657,1853,1931.644,2385.28,1893.602,2437.24,2585.254,3063.136,2632.39,3525.078,3765.698,4213.656,4075.728,2724.966,2524.314
W28,2601,2387,3189,2996,2806,3572,5525,4269,3093,4209,9706,9001,7211,4096,3914,3710,3250,3228,3262,3120,2850,2476,2518,2445,2645,3454,2596,2551,2797,2965,2865,2788,2985,3285,2530,2793,2564,7950,6582,5231,3324,2771,2235,2756,2328,2292,2373,2125,1976,2225,2031,2670,8314,4241,5385.336,4930.044,5502.288,6341.814,7345.756,6115.56,6011.848,10765.146,14508.16,11401.02,9290.162,6044.422,5883.34
W29,682,988,1073,1340,1184,1300,1185,2024,1499,1537,1251,1963,2754,1573,1247,1160,1062,960,920,1093,964,807,970,861,960,1057,909,807,1025,805,724,658,600,539,691,732,831,748,697,850,780,607,629,550,556,522,557,544,601,586,611,603,618,783,875.038,1011.1878,897.7176,933.7964,966.7338,1430.268,1294.792,1294.314,1148.38,1790.398,2191.504,1352.816,1074.532
W30,3652,3890,3843,4366,3762,4171,4325,5086,4131,4749,7336,6275,7100,5227,4812,7275,5364,4052,3671,3906,3693,3386,3645,4144,4021,4082,3359,3230,3316,4091,3515,4080,3673,3330,3549,4789,5544,4237,4027,3906,3492,3641,4214,4044,3369,3204,3343,3189,3094,3335,3286,4091,3377,3737,3690.696,3918.98,3616.466,4043.19,4244.962,4763.802,4353.094,5029.1,7039.202,5397.182,6249.138,4676.132,4259.85
W31,691,855,778,916,931,1279,1341,1974,1282,1770,1806,2295,1756,1456,1145,998,998,922,758,844,756,1418,761,782,684,680,654,774,721,660,889,892,1382,906,798,720,753,953,863,765,665,671,658,667,693,813,718,581,661,602,533,670,701,1144,927.6868,1052.436,1152.578,1302.624,1478.2,1672.87,1445.944,2031.402,2171.802,1976.718,1832.914,1429.822,1316.308
W32,4093,4145,4363,5499,4612,6425,3993,8134,5874,6210,6626,7803,7607,7799,5312,5765,5551,4624,3588,4518,4273,4277,3984,4703,4615,3593,3442,3871,3813,3248,3341,5223,3523,3614,4438,3958,4724,3494,3793,6515,3802,2718,3390,4711,3726,3648,3397,2990,3383,3837,3867,3917,4138,3830,4685.768,4163.652,5480.884,4998.61,6497.472,5117.12,5775.018,6631.65,7445.374,6785.036,6309.792,5081.862,5350.91
W33,1444.4,1579.5,1661.7,1945.7,1947.1,2047.8,2058,3260.1,2304.7,2176.7,2711.7,3833.3,4259.8,2724.9,2089.6,2495.1,2266.7,1892.8,1847.5,1786.6,1768.1,1700.7,1560,1765.8,1729.7,2034.6,1607.6,1505.6,1500.3,1855,1788.2,1586.6,1498.8,1673.2,2314.8,2078.8,1892.9,1756.6,1971.8,1607.1,1404.1,1324.7,1560.6,1413.4,1445.9,1357.9,1521.3,1240.3,1311,1188.6,1320.8,1690.6,1271.8,1435.8,1700.738,1625.344,1879.04,2123.11,2852.386,2098.916,2278.132,3012.604,3738.236,3586.778,2295.808,1981.44,2313.576
W34,1102,1449,1195,1162,1119,1162,1513,1083,975,1111,1094,1150,1191,1158,1245,997,1105,1015,1130,1452,1234,1379,1544,1754,1675,1913,1439,2414,2024,2492,1782,1699,2957,1892,1578,1559,1569,1431,1227,1297,1323,1179,1090,1045,1159,1451,1476,1313,1263,1213,1108,1219,1286,1203,1506.02,1445.664,1554.422,1424.982,2090.256,1844.302,1921.518,1592.028,1847.23,2645.042,1745.03,1419.084,1477.076
W35,1145,1521,1920,1738,1608,1777,1200,2724,2695,1996,1714,1459,3791,3104,2073,2320,2312,1793,1363,1467,1260,1166,1080,949,1214,1565,1152,1436,1368,1395,1193,1387,1440,1293,1357,1183,910,1019,1422,1458,1410,1251,1127,1048,979,1013,978,1156,934,833,835,1361,917,1156,1152.252,1202.15,1280.202,1211.016,2326.326,1930.882,1468.962,1224.782,1412.482,2857.022,2297.282,1604.998,1731.13
W36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15602.86,14242.16,12708.06,14076.44,12374.66,11423.36,13174.14,15836.52,18949,15624.66,12433.08,13011.94,16917.88
W37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919.954,2942.46,2925.548,2928.654,2968.402,2976.872,2965.034,2979.2,2952.412,2953.158,2960.858,2934.136,2976.916
W38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3137.656,3160.724,3128.026,3136.766,3151.446,3206.894,3215.764,3242.428,3211.604,3206.894,3197.506,3174.046,3209.28
W39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848.104,5841.988,5817.028,5799.742,5832.252,5856.662,5862.698,5862.024,5861.85,5854.722,5847.414,5824.052,5838.928
W40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850.376,5850.826,5822.864,5811.57,5846.816,5864.258,5876.95,5880.438,5872.728,5865.198,5863.602,5846.438,5862.902
W41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6170.37,6233.484,6222.95,6174.124,6196.304,6186.92,6215.748,6277.694,6324.234,6321.002,6248.85,6254.1,6228.764
W42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6174.092,6242.286,6225.768,6187.814,6208.634,6202.518,6231.772,6287.28,6321.36,6328.814,6266.516,6267.696,6260.182
W43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6172.404,6226.466,6220.432,6169.972,6197.16,6189.346,6219.134,6268.138,6312.06,6322.376,6257.782,6255.906,6239.64
W44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5846.6,5840.838,5816.87,5803.314,5834.68,5852.71,5864.016,5865.472,5861.866,5853.678,5857.732,5832.602,5854.626
W45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2923.782,2936.12,2903.228,2897.648,2864.496,2913.006,2912,2951.492,2950.698,2919.246,2958.412,2944.006,2900.344
W46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3309.17,3342.82,3322.264,3239.884,3252.274,3225.036,3259.594,3224.528,3215.012,3222.806,3253.768,3305.658,3250.324
W47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919.558,2932.48,2900.668,2890.582,2858.408,2908.344,2907.168,2947.136,2950.218,2918.344,2951.164,2938.338,2891.856
W48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3063.928,3051.254,2997.124,3005.132,2951.846,2953.724,2965.56,2960.666,2995.35,2995.242,3016.808,2968.444,2963.792
W49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3225.12,3263.43,3213.524,3207.296,3157.788,3207.696,3182.914,3182.522,3183.12,3200.356,3227.428,3214.108,3139.35
W50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229.686,3261.768,3213.634,3207.366,3156.08,3208.328,3184.9,3181.268,3181.29,3197.354,3227.674,3214.142,3141.354
