V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,F1,F2,F3,F4,F5,F6
Y14,2938.1,3034.2,3092.8,3275.9,3386.6,3536.2,3688.8,3842.3,4045.8,4332.5,4572.6,4732.3,4630.9,4607.8,4703.9,4938.3,5093.4,5235,5061,5125.196,5238.882,5353.718,5473.056,5582.222,5695.312
Y15,2779.4,2902.1,2926.6,3094.4,3163.6,3263.7,3459,3663.8,3907.4,4237.9,4506.8,4784.4,4603.6,4537.6,4661.8,4979.7,5127.1,5439.8,5361.5,5476.026,5621.734,5783.866,5941.25,6094.146,6249.952
Y16,1827.1,1871.9,1892.9,1950.8,1977.5,2052.1,2119.6,2166.7,2263.1,2378.8,2485.8,2567.9,2611.3,2627.1,2678.6,2763.5,2852.9,2957.2,2562.4,2550.028,2593.116,2636.768,2677.156,2712.002,2749.514
Y17,2214.6,2276.1,2319.4,2404.7,2472.2,2559.6,2674,2787.1,2959,3142,3339.3,3553.6,3597.8,3564.1,3577.6,3697.6,3820.8,3957.9,3813.9,3863.796,3951.08,4044.394,4136.45,4221.648,4307.352
Y18,2153.9,2206.7,2230.4,2301.6,2347.8,2419,2510.4,2596.9,2728.8,2885.5,3001.5,3131.5,3132.4,3142.1,3179.6,3285.5,3364.1,3453.8,3171.3,3175.752,3228.802,3283.512,3337.106,3383.656,3432.53
Y19,809.55,946.54,1029.36,1024.56,1161.23,1097.94,983.49,979.95,869.16,873.34,926.53,908.51,1107.41,1389.54,1654.1,1708.34,1552.47,2066.13,3005.53,3185.484,3298.756,3465.558,3620.31,3760.576,3931.82
Y20,4090.82,4347.68,4757.6,4929.53,5184.86,4826.48,5043.98,5382.51,5348.62,5249.73,5240.61,5219.33,5324.46,5467.29,5671.75,5763.55,5896.13,6028.98,6451.26,6599.188,6700.26,6807.822,6921.392,7032.298,7122.984
Y21,4283.1,4722.4,5578.8,5378.3,5639.4,5594.6,5890.9,6177.6,6096.1,6000.7,5912.8,5883.1,6253.7,6594.7,7086,7394.2,7797.8,7919.5,9333.9,9775.306,10087.206,10412.66,10749.9,11093.12,11412.82
Y22,1881.54,2071.42,2221.55,2191.83,2314.65,2386.45,2462.53,2748.09,2717.57,2644.15,2662.73,2598.1,2711.93,2875.14,3001.86,2997.52,3055.75,3189.07,4467.72,4767.678,4942.178,5127.124,5332.082,5530.382,5752.84
Y23,8664.7,8482.6,8651.2,8122.8,8117.6,8506.1,8545.2,8729.2,8259.9,8058.7,7511,7276.2,7368,7697.2,7557,7540.1,7470.9,7797.6,9979.6,10385.44,10508.06,10628.98,10781.22,10934.18,11043.26
Y24,6040.06,6425.02,6836.39,6763.38,6927.54,6552.55,6613.25,6892.78,6686.28,6339.14,6298.11,6365.09,6475.08,6519.46,6506.54,6452.81,6539.55,6672.33,9163.98,9625.378,9812.632,9998.438,10221.84,10436.32,10638
Y25,1350.81,1430.16,1546.42,1553.72,1599.83,1591.57,1646.8,1670.09,1632.55,1566.34,1573.45,1574.14,1641.11,1737.59,1834.56,1854.92,1891.84,1917.31,2395.63,2516.448,2581.592,2647.402,2718.568,2790.93,2854.664
Y26,3506.31,3933.84,4299.88,4243.28,4453.44,4505.29,4618.57,4845.78,4726.27,4613.7,4588.74,4390.9,4474.41,4620.33,4908.59,5010.81,5227.99,5421.46,7514.58,7987.83,8255.042,8535.742,8851.582,9152.68,9487.984
Y27,1012.393,1064.301,1143.686,1132.523,1169.992,1149.468,1167.008,1217.53,1183.835,1140.284,1130.42,1131.777,1177.158,1216.922,1247.465,1262.004,1311.079,1357.253,1794.733,1898.402,1951.948,2005.056,2065.068,2123.934,2182.068
Y28,1005.632,1055.85,1138.199,1105.557,1147.035,1162.534,1183.154,1237.889,1229.708,1184.007,1178.899,1158.539,1177.85,1200.236,1239.822,1244.546,1278.815,1355.562,1754.91,1844.506,1892.736,1940.744,1994.862,2048.1,2100.49
Y29,3367.441,3427.361,3471.467,3494.455,3518.338,3503.312,3525.701,3568.799,3565.015,3580.266,3663.808,3666.785,3664.872,3657.2,3648.33,3666.723,3714.137,3786.797,4197.853,4302.016,4340.89,4379.07,4426.518,4469.806,4499.502
Y30,2815.219,2872.962,2967.797,3033.697,3103.413,3171.19,3240.714,3310.781,3383.463,3506.976,3694.991,3794.95,3866.588,3871.611,3896.205,3948.334,4026.801,4124.802,4427.045,4549.508,4636.772,4725.738,4820.622,4908.408,4987.044
Y31,3374.299,3434.739,3472.53,3452.991,3459.818,3439.038,3469.976,3504.745,3497.55,3520.82,3596.89,3600.624,3605.921,3606.62,3595.342,3549.629,3318.663,3445.552,3771.984,3834.782,3846.78,3862.274,3883.106,3901.776,3907.238
Y32,4361.116,4390.052,4413.447,4414.524,4433.001,4461.875,4523.733,4584.106,4610.404,4670.494,4780.467,4808.305,4840.41,4847.299,4859.941,4885.751,4917.693,5042.754,5393.773,5496.812,5545.988,5595.958,5654.256,5707.432,5743.434
Y33,1004.49,990.922,991.584,990.939,1000.924,1015.101,1032.316,1048.152,1061.347,1081.003,1120.515,1140.711,1157.014,1164.249,1167.566,1174.398,1181.16,1189.047,1258.931,1279.668,1292.342,1305.758,1320.548,1333.708,1343.326
Y34,1426.4627,1430.1336,1425.8077,1411.3927,1407.6665,1399.2987,1404.3509,1421.9929,1432.5991,1456.5191,1510.8409,1525.1402,1546.4929,1550.1944,1549.8034,1547.6913,1548.8868,1572.4654,1682.3136,1711.424,1723.52,1735.644,1750.74,1763.966,1771.954
Y35,2353.296,2414.9,2465.17,2494.315,2525.843,2567.61,2615.921,2676.242,2712.658,2755.796,2853.684,2882.961,2915.337,2926.853,2931.497,2973.824,3026.539,3093.849,3370.141,3463.006,3514.656,3567.018,3624.608,3677.986,3721.928
Y36,1006.1764,1011.3284,1014.2907,1006.8927,1004.0221,1003.0761,1007.8123,1014.7238,1020.4452,1030.324,1051.6431,1056.455,1060.9431,1062.0005,1061.9765,1064.0054,1066.9615,1086.0177,1159.6736,1178.568,1185.566,1192.574,1201.71,1209.784,1214.142
Y37,2929.463,2991.189,3036.968,3049.555,3078.156,3063.687,3100.691,3150.507,3176.699,3220.93,3313.833,3340.854,3363.527,3375.198,3395.998,3446.932,3500.501,3583.382,3967.057,4072.03,4124.036,4174.772,4233.882,4289.864,4332.362
Y38,4046,4114,4064,3302,3524,3973,4526,3815,2447,3501,4294,5150,5283,4056,4507,2949,3627,6065,5986,3745.964,4037.788,4275.658,4505.55,4653.528,4863.444
Y39,421,356,293,232,227,247,266,284,357,341,362,400,420,291,251,273,352,690,823,3825.11,3951.484,4075.938,4225.212,4378.74,4501.262
Y40,85.8,74.8,62.3,47.6,45.5,52.8,58.3,66.2,72.1,67.2,71.3,77.9,97,123.1,148.5,162.3,163.1,161.1,173.4,4796.246,4956.026,5138.088,5306.246,5482.946,5660.77
Y41,1066.8,976.3,912.9,794.8,784,867.5,945.1,1066,1121.6,1084.8,1171.2,1272.8,1498.9,1780.9,2082.9,2249.1,2226.6,1971.2,1952.5,14733.2,15050.7,15418.12,15755.14,16111.44,16425.24
Y42,148.9,161.7,174,182.4,191.8,204.3,231.4,260.4,287.8,308.8,339.7,371,404.3,434.3,487.9,570.9,609,656.8,726,5859.154,6151.438,6425.554,6707.996,7001.424,7305.986
Y43,118,104,106,124,127,140,150,153,173,192,217,235,265,288,309,355,411,428,461,2949.628,3077.154,3196.418,3319.12,3454.678,3589.946
Y44,1072.5,1089.7,1132.6,1163.2,1205.2,1283.6,1342.9,1397.8,1443.7,1546.6,1661.5,1835.9,1976.6,2070.8,2211.5,2403.7,2696.2,2943.1,3000.2,10263.78,10585.9,10896.68,11182.4,11536.76,11844.88
Y45,1219.2,1242.9,1304.6,1336.5,1377,1450.2,1505.2,1560.7,1592.8,1698.2,1799.7,2009.7,2228,2366.5,2545.3,2673.8,2917,3075.5,3275.9,10257.64,10568.06,10863.6,11121.08,11457.64,11751.18
Y46,440,443,456,501,521,527,555,656,758,840,852,845,859,889,871,915,965,985,1051,6391.758,6662.148,6941.948,7189.422,7483.532,7734.09
Y47,440,444,457,502,521,527,555,656,758,842,855,847,861,891,874,918,968,989,1056,6422.198,6712.622,6998.534,7257.142,7555.13,7822.404
Y48,2990,3000,2980,2970,3000,3230,3360,3430,3490,3660,3750,3890,4310,4490,5050,4810,4950,5750,5100,6717.99,6732.194,6727.022,6718.45,6724.968,6728.334
Y49,361.1,377.9,413.3,437.3,590.1,682,715,805,719.2,819.7,802,791.7,857.2,1048.6,1529.3,1752.7,1743.1,931.1,748.3,2515.612,2540.008,2564.946,2585.388,2608.556,2631.126
Y50,2509,2618,2984,3249,4317,4473,4815,2922,2967,3070,3123,3104,3119,3063,2965,2956,3007,3236,3481,18726.16,19062.04,19325.12,19503.12,19842,20107.62
Y51,1442,1503,1580,1564,1524,1570,1621,1713,1762,1871,1877,1872,1846,1794,1709,1700,1734,1889,2036,,,,,,
Y52,826,877,922,964,996,1057,1133,1226,1356,1510,1649,1832,2022,2276,2581,2853,3150,3556,4032,,,,,,
Y53,949,964,1007,1181,1350,1442,1502,1620,1774,1865,1777,1846,1800,1837,1864,1882,1941,1999,2065,,,,,,
Y54,344,373,411,469,511,565,615,655,728,786,851,906,977,1047,1120,1188,1283,1379,1482,,,,,,
Y55,128.78,132.75,141.02,153.5,164.34,176.4,183.09,201.19,221.09,237.96,251.73,272.28,295.23,313.41,337.83,360.32,391.13,425.03,470.01,,,,,,
Y56,224,240,270,301,336,376,404,440,485,519,561,610,666,712,772,834,915,993,1087,,,,,,
Y57,312.5,322.9,337.7,377.4,408.6,435.4,448.4,460.7,491.4,512,530.5,549.8,575,593.8,617.4,636.4,670.9,692.1,736.3,,,,,,
Y58,2798.9,2859.2,3426.9,3871.1,4098.5,4340.3,4616.1,5243.6,6272.7,6539.3,6743.7,6470.3,6265.9,5961,5634.3,6155.2,5867.8,5842.1,6134.5,,,,,,
Y59,1561.9,1440.4,1334.8,1232,1210.2,1330.7,1353.6,1379.4,1511.6,1509.4,1491.4,1519.4,1669.9,1652.8,1668.1,1562.9,1450,1581.1,1780.6,,,,,,
Y60,3528.1,3840.2,4246.2,4641.3,4909.5,5090.4,5270.3,5437.9,5560.5,5726,5933,6170.8,6420.5,6627.3,6793.5,6960.5,7116.5,7286.4,7441.7,,,,,,
Y61,3097.9,2149.6,2142.6,1891.9,1887.3,1603,1688.8,1690.3,1691.7,1491.5,1606.4,1510.9,1527.5,1671.8,1745.5,1841.1,1718.4,1611.7,1752.5,,,,,,
Y62,1064.2,1331.1,1337.4,1208.2,1487.7,1588.9,1494.9,1649.1,1454.6,1467.3,1384.1,1266.9,1749.2,1930.9,2083.2,2257.1,2378.8,2497.6,2510.6,,,,,,
Y63,1054.9,1075.5,1109.6,1217.3,1256.4,1312,1436.7,1593,1640.5,1559.8,1635.4,1810.4,1741.2,1800.6,1696.1,1208.1,1193.8,1223.3,1275.7,,,,,,
Y64,3245.7,3577.8,3650.3,3896.9,4192.4,4464.2,4853.2,4926.5,4711.8,5332.8,5937.9,6186.6,6354.5,5590.4,5593.3,4950.9,5140,6138,6249.3,,,,,,
Y65,2569.9,2568,2552,2445.4,2534.9,2621.8,2585,2672.9,3299.2,3820.6,4115.5,4065.2,4388.5,5796.2,6223,7002.2,8248.3,7358.9,6584.3,,,,,,
Y66,2765.4,2856.1,3238.6,3943.2,4514.9,5310.3,6071.5,6714.3,7487.1,7857.5,7686.5,7424.2,7016.4,6704.8,6934,7020.5,7482.6,7822.4,8202,,,,,,
Y67,1896.7,1900.5,1922.9,1984.2,2004.1,2168.9,2275.8,2446.5,2529.8,2621.8,2651.9,2611.6,2728.6,2982.9,3203.4,3155,3269.5,3410.9,3623.5,,,,,,
Y68,2490.2,2351.6,2154.2,1861,1806.1,2050.9,2148.2,2325.6,2467,2325.5,2486.4,2626.4,2608.5,2703.3,2441.4,2372.7,2314.7,2299.3,2574.1,,,,,,
Y69,3369.4,3829,4134.1,4829.5,5191.4,5623.2,5921.2,5996.9,6300,6511.8,6736.8,7051.8,7233.8,7565.4,8007.2,8626.5,8880.3,9155,9408.7,,,,,,
Y70,1511,1647.7,1793.8,1955.4,2104.8,2253.2,2245.2,2406.6,2520.7,2744.6,3033.7,3274.3,3474.8,3838.4,4275.9,4465.8,4618.1,4727.5,4946.4,,,,,,
Y71,2018.7,2179.5,2256.8,2393.2,2524.5,2698,2796,3141.8,3361.1,3571.5,3649.5,3737.8,3742.3,4090.5,4569.2,4779.1,4937.2,5664.2,6694.4,,,,,,
Y72,1436.1,1521.2,1599.8,1625.6,1697.5,1799.7,1802.8,1937.3,2104.8,2312.8,2448.1,2646,2763.4,2929.1,3050.7,3228,3348,3365.8,3409.9,,,,,,
Y73,3334,4309.5,4617.1,5381.2,6123.4,5182.1,5889.5,6147.9,6323.9,7150.7,8326.4,7694.6,7728.9,8731,8920.6,10640.6,11303.5,11624.1,12205.3,,,,,,
Y74,2120.1,1962.1,2169.7,2596.2,2987.9,3284.2,3429.3,5665.7,6188.4,5452.6,4707.6,5379.8,5495.9,5241.5,5099.6,3924.4,4585.8,4289.8,4298.8,,,,,,
Y75,4545.5,4632.2,4938.6,5052.6,5455.7,5629.5,5927.4,6168.5,6364.9,6511.6,6461.7,6412.6,6370.4,6350.3,6279.9,6122.7,6086.5,6112.5,6151.6,,,,,,
Y76,2425.7,2429.7,2627.1,2653.9,2811,2974.8,3062.6,3178.1,3436.6,3759.6,4057.5,4252.5,4347.7,4303.1,4466.6,4822.2,5254,5129.1,4928.1,,,,,,
Y77,1121,1173.4,1289,1346.9,1553.3,1662.5,1840.8,2154.7,2405.4,2599.8,2796.1,3019.8,3100.4,3242.8,3482.5,3638.6,3659.5,3719.9,3710.7,,,,,,
Y78,154.7,177.11,191.89,204.09,221.11,237.01,263.51,285.92,285.67,312.71,335.01,354.91,363.59,399.94,434.01,449.54,481.09,511.52,545.4,,,,,,
Y79,73.91,111.41,144.95,137.69,193.63,179.73,180.65,189.08,207.72,244.3,234.21,222.7,218.17,269.27,257.3,250.84,267.47,287.97,306.7,,,,,,
Y80,1010.5,814.7,1033.3,1110.8,880.6,1606.1,2053.7,1738.1,1798.6,1476.7,1843,1675.4,1462.1,1202.6,1415,1256,1327.4,1435.5,1574.4,,,,,,
Y81,176.8,117.7,130.85,144.61,154.99,225.16,260.98,259.1,251.62,257.76,264.36,274.64,288.71,288.69,298.4,310.23,329.5,348.16,372.42,,,,,,
Y82,249.93,294.57,298.15,249.74,345.87,470.51,487.4,507.84,449.19,515.43,548.62,563.98,534.45,610.34,633.8,642.97,691.44,739.04,723.09,,,,,,
Y83,91.41,104.42,118.98,130.34,142.16,155.55,170,183.94,193.82,210.39,232.71,251.16,265.22,288.41,314.75,338.07,362.51,387,418.45,,,,,,
Y84,3304,3367,3368,3398,3422,3476,3481,3569,3702,3741,3684,3686,3650,3652,3654,3697,3718,3729,3757,,,,,,
Y85,911,773,859,978,748,901,857,839,793,1005,688,925,763,864,839,627,890,957,902,,,,,,
Y86,1215,1426,1507,1554,2082,1590,1823,1683,1570,1812,1676,1704,1675,1805,1909,1490,2089,1620,1551,,,,,,
Y87,2137,2107,2145,2404,2389,2527,2660,2946,3519,4015,4748,4687,5206,5190,5190,4809,4939,5053,5045,,,,,,
Y88,7360,6600,9890,8420,8510,7370,6360,9690,7510,6280,4740,6220,6390,7160,7540,4700,7920,5430,3420,,,,,,
Y89,222,201,208,349,274,294,277,276,277,315,326,367,432,477,455,543,538,632,568,,,,,,
Y90,1840,1260,980,1320,2620,3180,5410,5080,4090,2350,2940,2090,3270,4510,4750,3550,3340,3450,5970,,,,,,
Y91,2800,2800,2900,2900,2900,2900,2900,2800,2900,2900,2900,3000,3000,3000,3000,3000,3100,3100,3100,,,,,,
Y92,707.73,639.03,714.73,1809.54,1765.05,4144.89,2804.56,3342.54,3070.91,2099.57,1834.74,2469.24,2074.16,1984.4,2384.59,3259.63,2870.42,2481.27,1653.73,,,,,,
Y93,6299.285712,6617.751311,6646.95578,6842.242205,7000.549296,7203.311187,7294.132352,7729.067464,7524.540608,7373.884167,6889.815144,6864.537337,6739.244257,6831.92708,6880.06779,6516.865643,7248.761872,7815.168925,8591.859038,,,,,,
Y94,6442.699425,6396.876587,6342.132254,6414.696402,6523.638173,6520.870531,6577.414547,6341.827851,6492.714362,6228.808827,6461.114927,6552.469201,6611.184838,6821.379779,6803.942748,6818.496007,6838.263784,7073.688488,7030.816288,,,,,,
Y95,7259.445591,7165.431398,7119.454904,7200.789705,7443.78153,7381.034967,7195.931353,7274.357167,7398.338201,7458.522861,7506.032931,7392.402269,7339.006678,7275.035456,7207.321365,7167.295919,7076.456407,7117.314261,7073.041616,,,,,,
Y96,7750.138143,7746.959709,7858.156705,7704.959234,7414.564136,7324.654225,7544.379843,7260.911608,7219.688004,7102.41105,7470.431895,7497.16469,7029.964432,6719.618923,6681.030047,6298.709052,6286.450279,6247.604942,6430.528334,,,,,,
Y97,7135.498471,6897.288315,7222.807594,7511.606535,7440.782621,7385.557531,7354.600729,7247.958709,7368.927916,7292.349485,7095.993758,6909.618205,6888.608321,6855.045566,6780.438115,6806.972162,6755.504363,6628.395991,6411.769631,,,,,,
Y98,9669.263819,10329.80233,10006.86285,10038.99888,10517.42408,10492.62138,9622.247428,9664.316784,9377.565594,9197.654059,9310.678829,9675.785715,9610.595033,9290.678055,9413.807882,9630.059084,9339.357165,9449.043126,8822.331373,,,,,,
Y99,8293.738152,8554.746677,8346.795796,8626.382138,8585.354747,8797.932761,8161.840199,8407.736864,8195.168578,7815.493779,7891.777488,7679.207821,7514.233514,6880.704515,6983.076279,6799.054898,6869.729284,7552.439146,7974.83995,,,,,,
Y100,7234.531669,7429.999414,7616.196582,7379.222933,7675.008715,7279.454624,7607.079394,7632.542349,7396.924509,7042.756599,7089.532621,7850.024655,7906.480938,8250.450217,7793.613896,8097.431632,8030.712984,8377.150834,8347.215246,,,,,,
Y101,2434.927441,2813.355553,2538.752173,2621.599275,2357.971784,2441.311232,2264.970884,2360.582317,2163.453514,2450.467883,2201.304085,1764.179458,1481.591581,1378.289191,1313.717172,1277.078207,1478.307346,1535.580702,1590.551412,,,,,,
Y102,8653.618442,8649.861579,8657.375103,8642.347245,8672.399717,8612.281797,8732.465766,8491.890077,8972.212595,8859.989028,8919.087005,9545.360785,9771.261701,9378.354582,8927.531105,,,,,,,,,,
Y103,2758.528231,2527.224229,3120.723643,2625.601221,1780.336897,1861.348761,1958.878964,2018.913984,2048.244326,2161.888072,3669.085034,4112.679854,4373.060542,3982.175627,3593.991774,4329.260957,4709.21706,4424.143247,4161.965002,,,,,,
Y104,1705.696248,1699.545217,1702.002866,1710.996869,1681.67088,1703.872716,1711.996902,1620.868201,1781.89302,1721.890924,1727.764819,2087.474038,1805.102394,1860.958921,1919.121586,1790.920113,1580.176517,1569.368157,1437.756517,,,,,,
Y105,3792.368381,3084.842069,3213.481114,3007.225734,2739.10635,2941.456355,3306.491789,2259.544142,2409.758291,2381.784922,2316.270308,2260.915839,2292.179722,2282.172685,2152.3279,2132.487536,2205.181597,2182.210098,2071.877329,,,,,,
Y106,1748.420797,1670.344101,1251.734761,1356.012519,1336.046271,2011.670959,2665.133323,2687.134147,2188.564349,1861.234106,1685.319361,1416.367766,1419.072836,1747.620162,2023.046891,1982.796319,1625.606493,1906.353392,2206.46017,,,,,,
Y107,4088.107726,4034.762343,4276.523003,4446.556416,4707.711291,4620.196595,4016.601597,3377.229932,3005.372662,2824.414507,2928.855932,3284.721381,3262.992087,3257.959898,3206.2066,3173.631801,3441.268188,3560.081146,3554.338889,,,,,,
Y108,2416.129745,2161.576161,3040.75723,2688.119943,3112.699203,3762.488026,3919.619638,3402.144897,2849.17983,2817.949189,3824.022655,3826.772819,3825.191096,3820.10324,3835.02046,3820.445146,3804.828838,3879.686706,3776.644953,,,,,,
Y109,2542.700386,2595.459486,2527.75325,2558.638091,2445.683238,2740.973647,3145.014342,3339.739701,3531.021196,3561.467095,3932.689483,3935.804302,3938.825262,3923.442851,3945.157438,3947.882325,3877.364719,4010.623551,3956.013424,,,,,,
Y110,2157.314963,2015.948364,1500.630867,1729.115998,2036.091484,2050.205572,2135.605332,2233.827028,1862.670007,2029.437986,2282.43029,2354.603581,2207.86657,2122.851399,2490.735085,2411.015393,2483.448585,2523.101562,2611.853439,,,,,,
Y111,1039.235257,1189.327757,1287.327462,1294.211788,1020.41865,1074.271318,1002.073316,1044.952687,1238.866281,1495.995496,1446.380593,1396.139842,1545.58714,1513.724731,1686.210796,1681.328041,1959.881793,2118.33317,2136.553924,,,,,,
Y112,1859.746266,1859.300243,1830.941642,1852.166986,1805.981859,1773.889562,1737.101456,1715.27172,2194.496252,1805.854264,1966.429496,1943.625069,1807.706552,1749.611148,1953.913543,1874.430738,1868.982916,1971.484365,1825.318113,,,,,,
Y113,1809.940891,1847.414763,1805.463097,1832.051245,1841.184393,1825.918195,1820.795079,1851.424827,1880.076806,1863.063788,1787.54952,1983.374977,1757.738342,1801.911846,1817.138305,,,,,,,,,,
Y114,2647.664148,2249.004085,2088.94374,2668.853346,2329.67361,2349.614228,2349.25106,2266.67237,2243.356593,2302.998029,2003.968429,2022.837236,1986.403761,2002.004806,1909.95802,,,,,,,,,,
Y115,1975.247103,1977.754195,1984.746261,1919.113479,1930.86307,2070.841925,1749.465502,1881.567817,1934.311764,1971.608159,1962.963316,2063.172228,2067.783081,1986.355968,1993.595656,1779.039261,1760.998715,1754.736033,1606.40583,,,,,,
Y116,1705.926905,1709.807132,1693.200059,1673.827119,1694.042896,1678.871214,1663.835427,1672.633247,1661.661802,1711.59263,1643.76043,1657.427011,1986.140733,1359.454663,1621.19244,1611.911765,1632.44137,1896.116316,1783.835667,,,,,,
Y117,1394.026481,1256.682405,1303.457165,1224.839161,1342.280871,1428.769757,1290.762259,1340.847021,1347.214574,1344.920672,1243.336706,1331.189276,1490.882933,1595.134642,1884.263873,1491.740233,1335.367809,1329.023446,1315.717339,,,,,,
Y118,1531.817495,2154.210333,1971.607563,1968.881942,1868.992971,1942.965638,1878.947829,1999.437153,1983.154252,1923.623566,2541.088697,2578.849583,2546.421675,2106.812973,2445.823935,2222.725632,2199.768219,2196.958884,2296.050241,,,,,,
Y119,2382.913385,2255.590001,2210.973104,2262.928863,2492.271572,2336.185802,2617.940441,2603.606896,2214.485065,2534.642282,2582.187564,2759.823953,2729.623172,2648.169911,2957.126003,2852.728915,2963.0439,2875.241834,2788.876237,,,,,,
Y120,1176.677312,1160.325026,1193.39293,1236.780492,1253.331673,1086.475014,1104.493431,1239.224868,1283.79551,1386.294067,1622.045943,1455.394953,1823.186912,1711.719457,2019.02003,1739.087566,1491.776808,1659.428433,1969.583154,,,,,,
Y121,1495.461365,1655.452174,1413.909437,1479.995296,1215.331822,1392.276339,1749.266882,1580.786891,1700.289829,1562.191886,1711.708076,1654.344059,1562.461145,1309.95252,1827.194492,2863.469897,1911.641563,2743.526363,2973.212582,,,,,,
Y122,1540.002739,2128.171116,2253.148804,2682.071112,2578.523712,1355.409814,2514.753004,3127.777216,2174.781325,2480.409383,1857.224288,3027.215817,3588.67661,2982.908435,3705.203819,4086.365427,5334.72062,4668.689436,5126.144882,,,,,,
Y123,1971.656545,1968.02655,1887.79343,1544.428351,2174.846304,2003.393299,1926.997578,2028.288482,1977.874368,1892.470017,1776.655044,1819.592554,1648.390161,1679.555057,1875.715248,2078.777755,2109.620761,1767.671244,1451.15024,,,,,,
Y124,3440.853186,2833.553989,4518.491787,1563.41023,1921.304263,2507.083686,2407.206532,1953.59702,2096.532089,1746.497569,1968.23177,2057.301089,2076.139965,1998.145403,2440.119888,,,,,,,,,,
Y125,9682.471138,9742.371742,9816.580408,9633.722705,9836.107799,9919.271572,9845.756291,9740.794242,9771.886228,9640.626094,9734.017964,9828.718342,9931.811478,10364.87854,9949.09606,9516.685597,9583.25837,9828.142275,8991.098961,,,,,,
Y126,6514.35625,5387.750923,6272.143324,6896.13335,7025.381815,6785.31467,5780.100682,4960.218497,5468.496757,5841.735633,6144.121572,6042.051347,5737.587243,5741.851019,5393.013175,6115.642642,6035.575969,6640.562116,6366.281656,,,,,,
Y127,7469.570818,7842.331884,7112.203749,7556.063806,6902.051902,7923.965987,7441.654996,7590.684435,7406.903749,7387.150686,7279.641671,7202.260116,7285.015156,7138.765765,7007.778275,,,,,,,,,,
